Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcFMID	361	74	3	11	1	272	72	0	0	0
bcEWRN	355	53	3	11	1	287	56	0	0	0
bcENQJ	349	59	2	13	0	275	56	0	0	0
bcCKYJ	343	50	2	11	0	280	47	0	0	0
bcAKKG	337	203	4	34	3	93	159	0	0	0
bcCEKA	331	62	2	12	1	254	62	0	0	0
bcHVYQ	324	58	1	13	1	251	52	0	0	0
bcIIDT	317	62	5	17	0	233	60	0	0	0
bcGXNX	310	63	1	8	0	238	55	0	0	0
bcBQBR	303	60	4	7	2	230	64	0	0	0
bcFAVO	295	151	6	23	4	111	175	0	0	0
bcASUI	287	71	4	14	0	198	71	0	0	0
bcHKHP	279	51	6	10	0	212	50	0	0	0
bcHLXX	272	48	0	22	0	202	42	0	0	0
bcCXXF	264	37	0	12	0	215	35	0	0	0
bcDEGN	256	38	0	17	1	200	36	0	0	0
bcHOPY	80808	49817	943	10876	886	18286	52803	0	0	0
bcHESH	38536	22349	618	6161	288	9120	21355	0	0	0
bcEIKU	28828	18274	270	3371	197	6716	18045	0	0	0
bcCWDM	23048	14816	167	2877	73	5115	13609	0	0	0
bcASJA	19816	11920	228	2213	52	5403	11023	0	0	0
bcHJON	17491	11095	157	1927	242	4070	10636	0	0	0
bcIIMD	15217	9566	145	1439	62	4005	8037	0	0	0
bcFAPN	13734	8590	111	1622	77	3334	7473	0	0	0
bcHCRQ	12383	7756	98	1487	70	2972	6923	0	0	0
bcELHV	11422	7795	89	1113	32	2393	6294	0	0	0
bcHDHJ	10529	5822	175	1895	29	2608	4916	0	0	0
bcAWMN	9690	6464	89	1152	37	1948	4978	0	0	0
bcEERC	8993	6001	94	726	21	2151	5338	0	0	0
bcEWXX	8306	5027	56	1095	26	2102	3851	0	0	0
