Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcCOHH	393	89	8	32	5	259	83	0	0	0
bcDBUQ	387	72	3	19	2	291	71	0	0	0
bcBDIH	381	90	5	24	1	261	79	0	0	0
bcGIIC	375	164	2	48	1	160	126	0	0	0
bcHYAZ	370	82	8	14	1	265	80	0	0	0
bcCUUA	365	93	0	9	1	262	69	0	0	0
bcBYTM	358	79	5	16	1	257	70	0	0	0
bcGIBW	353	110	3	39	0	201	77	0	0	0
bcDGZD	347	62	3	21	0	261	56	0	0	0
bcEPWS	342	81	1	35	1	224	62	0	0	0
bcEVTD	336	193	6	30	5	102	136	0	0	0
bcDWKF	330	92	6	12	1	219	93	0	0	0
bcFFNF	325	168	3	23	2	129	116	0	0	0
bcBTMB	320	66	2	17	1	234	57	0	0	0
bcFCRW	314	79	5	19	0	211	82	0	0	0
bcHYYL	309	72	1	22	0	214	64	0	0	0
bcFDVH	303	45	3	23	4	228	42	0	0	0
bcIGQE	298	66	4	6	3	219	58	0	0	0
bcEHQH	293	67	2	8	0	216	57	0	0	0
bcFLAD	287	48	5	14	1	219	50	0	0	0
bcEKHF	282	43	4	6	1	228	45	0	0	0
bcEREV	277	109	2	23	0	143	91	0	0	0
bcHXDK	272	50	0	17	0	205	45	0	0	0
bcCYEQ	267	73	2	14	1	177	63	0	0	0
bcEPQI	261	49	3	21	0	188	50	0	0	0
bcEYRV	257	76	3	8	1	169	61	0	0	0
bcEAFK	253	48	4	12	0	189	49	0	0	0
bcFIDY	32784	22585	308	3713	246	5932	23070	0	0	0
bcHTLV	22887	12897	203	1551	108	8128	11341	0	0	0
bcDSBU	18074	10964	200	1926	48	4936	9938	0	0	0
bcFQBW	14614	9694	131	1775	29	2985	9475	0	0	0
bcIAEK	12183	4039	69	6005	243	1827	3594	0	0	0
bcHOPB	10150	6662	95	1243	30	2120	5591	0	0	0
bcGQOK	8509	5616	104	1014	22	1753	4651	0	0	0
bcGVTO	6950	4543	53	884	16	1454	3453	0	0	0
bcAAHD	5605	3797	46	654	13	1095	3618	0	0	0
bcCDXX	4603	2912	45	553	41	1052	2134	0	0	0
bcFIRV	3936	2764	28	511	13	620	1930	0	0	0
bcDMHT	3443	2290	34	389	49	681	1581	0	0	0
bcCROK	3002	1534	24	441	15	988	1182	0	0	0
bcFWJB	2652	1669	26	305	30	622	1210	0	0	0
bcBQPD	2419	1532	18	348	9	512	1147	0	0	0
bcEYWI	2208	927	27	165	9	1080	680	0	0	0
bcASLI	2049	831	15	817	41	345	653	0	0	0
bcDZDQ	1922	759	28	138	7	990	551	0	0	0
bcGHWF	1805	1093	15	226	14	457	843	0	0	0
bcELJE	1719	982	15	272	10	440	656	0	0	0
bcFSIV	1634	1013	24	249	13	335	750	0	0	0
bcDPEH	1573	303	16	68	4	1182	294	0	0	0
bcCTDE	1511	851	13	212	7	428	566	0	0	0
bcEBAM	1454	244	11	57	5	1137	241	0	0	0
bcAHJE	1414	466	14	44	3	887	351	0	0	0
bcGMTS	1374	242	14	45	4	1069	226	0	0	0
bcCTRK	1338	850	16	179	8	285	619	0	0	0
bcFDEW	1299	799	16	128	1	355	570	0	0	0
bcDVCO	1268	266	16	32	2	952	251	0	0	0
bcDGYW	1237	793	17	143	2	282	590	0	0	0
bcBMDB	1212	790	20	139	15	248	593	0	0	0
bcBOTX	1185	283	11	42	4	845	251	0	0	0
bcBJUW	1162	625	23	169	9	336	456	0	0	0
bcHNXT	1139	183	13	53	0	890	167	0	0	0
bcBIRL	1117	467	11	85	5	549	318	0	0	0
bcDJYI	1098	200	3	50	4	841	175	0	0	0
bcBSEC	1079	397	14	94	8	566	318	0	0	0
bcESGP	1062	276	13	39	3	731	233	0	0	0
bcCMHA	1043	197	6	50	2	788	182	0	0	0
bcDNBL	1028	247	5	74	3	699	230	0	0	0
bcCJNW	1012	209	9	42	2	750	195	0	0	0
bcAJFD	998	545	12	106	6	329	382	0	0	0
bcBSSW	984	181	12	45	6	740	180	0	0	0
bcGRPT	970	276	2	43	3	646	234	0	0	0
bcBNHU	957	574	9	143	8	223	427	0	0	0
bcEWCN	945	229	13	36	1	666	203	0	0	0
bcEZID	932	192	6	52	0	682	172	0	0	0
bcHCXN	920	632	14	90	8	176	472	0	0	0
bcDYMF	909	171	7	39	3	689	168	0	0	0
bcCEZK	898	393	7	103	7	388	283	0	0	0
bcFJLQ	887	125	2	29	1	730	111	0	0	0
bcAOCD	878	169	4	37	1	667	152	0	0	0
bcCZLO	867	374	13	35	9	436	269	0	0	0
bcDDNF	857	160	6	35	1	655	146	0	0	0
bcGOVU	846	125	7	27	2	685	110	0	0	0
bcEFFW	836	167	8	33	1	627	150	0	0	0
bcDFIE	827	262	9	56	1	499	216	0	0	0
bcDLYA	818	168	9	21	2	618	151	0	0	0
bcGVOG	810	186	6	31	4	583	155	0	0	0
bcEMNA	801	152	6	28	3	612	131	0	0	0
bcBCQN	792	146	5	39	2	600	130	0	0	0
bcEYWJ	784	223	8	43	1	509	166	0	0	0
bcFPRW	776	198	5	36	4	533	166	0	0	0
bcGQLB	769	147	5	35	2	580	135	0	0	0
bcAGVY	760	169	8	25	3	555	148	0	0	0
bcELJS	752	257	6	69	2	418	239	0	0	0
bcBDGK	744	144	5	32	0	563	118	0	0	0
bcFAIU	736	136	15	30	2	553	139	0	0	0
bcFGQC	729	115	8	24	2	580	112	0	0	0
bcADOV	721	150	9	30	2	530	153	0	0	0
bcFXTB	715	171	7	36	0	501	140	0	0	0
bcCNKV	708	173	4	35	1	495	162	0	0	0
bcBHLD	701	127	10	59	4	501	119	0	0	0
bcBVBN	694	128	7	16	1	542	127	0	0	0
bcIIYP	687	151	5	34	1	496	131	0	0	0
bcHEHF	681	133	13	37	1	497	121	0	0	0
bcHGQZ	673	98	4	25	4	542	84	0	0	0
bcFJYG	666	147	6	33	3	477	138	0	0	0
bcEQBZ	660	124	5	39	2	490	99	0	0	0
bcBRGU	653	121	7	36	2	487	109	0	0	0
bcBDFC	646	115	6	22	4	499	101	0	0	0
bcGITC	640	368	4	60	5	203	281	0	0	0
bcFMBF	634	134	3	33	3	461	95	0	0	0
bcETBH	627	156	7	32	0	432	136	0	0	0
bcHPCQ	621	120	5	36	1	459	105	0	0	0
bcBNYA	614	156	4	27	3	424	148	0	0	0
bcEXPO	608	138	10	28	5	427	119	0	0	0
bcDMMD	601	126	4	29	0	442	109	0	0	0
bcAKOP	595	127	5	26	1	436	117	0	0	0
bcHMXN	588	101	3	15	3	466	95	0	0	0
bcERHB	582	98	5	27	2	450	94	0	0	0
bcCMCX	576	323	3	71	1	178	245	0	0	0
bcCWUI	569	113	10	29	0	417	98	0	0	0
bcAFBV	562	114	9	18	1	420	121	0	0	0
bcFPYJ	556	99	8	32	1	416	89	0	0	0
bcBWXW	550	124	2	42	2	380	106	0	0	0
bcHBVM	543	112	4	25	0	402	100	0	0	0
bcBVSJ	537	317	4	86	3	127	218	0	0	0
bcFWPF	530	100	4	16	2	408	83	0	0	0
bcGGCF	524	88	4	26	1	405	79	0	0	0
bcGGPM	518	146	4	18	3	347	109	0	0	0
bcFXTF	511	100	6	29	0	376	82	0	0	0
bcBVSD	505	108	3	20	5	369	92	0	0	0
bcAUMH	500	94	4	32	3	367	87	0	0	0
bcBBRC	494	140	1	25	0	328	137	0	0	0
bcDJIU	488	116	3	28	1	340	110	0	0	0
bcBCMK	481	106	5	17	0	353	95	0	0	0
bcFVFD	475	121	6	30	0	318	97	0	0	0
bcDSFO	469	79	5	18	2	365	73	0	0	0
bcFEWC	463	84	6	12	2	359	80	0	0	0
bcHVXE	457	72	3	18	1	363	69	0	0	0
bcAGPV	450	80	2	25	0	343	78	0	0	0
bcAXXQ	445	122	4	30	1	288	99	0	0	0
bcCCTP	438	109	5	24	1	299	100	0	0	0
bcDFSW	433	88	5	14	0	326	78	0	0	0
bcDCYS	427	82	6	19	2	318	79	0	0	0
bcFRTB	422	57	5	11	0	349	55	0	0	0
bcIBYF	416	234	7	60	3	112	171	0	0	0
bcDWDU	411	221	4	49	3	134	188	0	0	0
bcEUPK	405	86	0	33	1	285	67	0	0	0
bcBSIZ	398	101	3	18	1	275	82	0	0	0
bcDREY	393	250	3	39	0	101	165	0	0	0
bcDOTR	387	103	5	17	0	262	96	0	0	0
bcBEPN	381	71	3	17	1	289	68	0	0	0
bcDOKC	375	151	6	28	2	188	137	0	0	0
bcGEAA	370	104	2	25	1	238	74	0	0	0
bcIBSI	365	104	2	21	2	236	92	0	0	0
bcBUMT	358	85	6	24	1	242	81	0	0	0
bcAURL	353	216	2	31	3	101	156	0	0	0
bcDOPC	347	132	5	26	2	182	97	0	0	0
bcGFWU	342	56	4	12	1	269	54	0	0	0
bcGIZL	336	90	4	12	6	224	84	0	0	0
bcEQUQ	330	70	3	9	0	248	61	0	0	0
bcFUNN	325	84	1	25	0	215	60	0	0	0
bcCZCE	320	160	1	39	0	120	106	0	0	0
bcDZRJ	314	182	6	42	0	84	128	0	0	0
bcDDHR	309	75	4	21	0	209	70	0	0	0
bcFRMI	303	152	6	45	2	98	107	0	0	0
bcCJEU	298	74	5	24	0	195	64	0	0	0
bcFHGT	293	64	3	14	0	212	66	0	0	0
bcDOPR	287	91	6	20	0	170	68	0	0	0
bcIBLG	282	53	3	9	1	216	54	0	0	0
bcBEFM	277	69	2	19	0	187	64	0	0	0
bcEMNC	272	44	4	11	3	210	43	0	0	0
bcDBAU	267	50	2	12	1	202	42	0	0	0
bcCJZJ	261	77	2	15	2	165	61	0	0	0
bcBZOT	257	73	1	10	1	172	64	0	0	0
bcAIZZ	252	43	2	17	0	190	44	0	0	0
bcGAVN	32543	18827	291	6064	379	6982	17053	0	0	0
bcIFNX	22870	13631	384	2840	235	5780	12843	0	0	0
