TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
7825000000.0	244904112.1	232209910.3	249316449.9
7826000000.0	244909161.0	232214064.8	249322299.0
7827000000.0	244914209.0	232218218.4	249328147.2
7828000000.0	244919256.0	232222371.2	249333994.2
7829000000.0	244924302.0	232226523.1	249339840.3
7830000000.0	244929347.0	232230674.2	249345685.3
7831000000.0	244934391.0	232234824.5	249351529.2
7832000000.0	244939434.0	232238973.9	249357372.1
7833000000.0	244944476.1	232243122.4	249363214.0
7834000000.0	244949517.2	232247270.1	249369054.9
7835000000.0	244954557.3	232251417.0	249374894.7
7836000000.0	244959596.4	232255563.0	249380733.4
7837000000.0	244964634.5	232259708.2	249386571.2
7838000000.0	244969671.7	232263852.5	249392407.8
7839000000.0	244974707.9	232267996.0	249398243.5
7840000000.0	244979743.1	232272138.6	249404078.1
7841000000.0	244984777.3	232276280.4	249409911.7
7842000000.0	244989810.5	232280421.4	249415744.2
7843000000.0	244994842.8	232284561.5	249421575.7
7844000000.0	244999874.0	232288700.8	249427406.2
7845000000.0	245004904.3	232292839.2	249433235.7
7846000000.0	245009933.6	232296976.8	249439064.1
7847000000.0	245014962.0	232301113.5	249444891.4
7848000000.0	245019989.3	232305249.4	249450717.8
7849000000.0	245025015.7	232309384.4	249456543.0
7850000000.0	245030041.1	232313518.6	249462367.3
7851000000.0	245035065.6	232317652.0	249468190.5
7852000000.0	245040089.0	232321784.5	249474012.7
7853000000.0	245045111.5	232325916.2	249479833.9
7854000000.0	245050133.0	232330047.1	249485654.0
7855000000.0	245055153.5	232334177.1	249491473.1
7856000000.0	245060173.1	232338306.2	249497291.2
7857000000.0	245065191.6	232342434.5	249503108.2
7858000000.0	245070209.2	232346562.0	249508924.2
7859000000.0	245075225.9	232350688.7	249514739.2
7860000000.0	245080241.5	232354814.5	249520553.1
7861000000.0	245085256.2	232358939.4	249526366.0
7862000000.0	245090269.9	232363063.6	249532177.9
7863000000.0	245095282.6	232367186.8	249537988.8
7864000000.0	245100294.4	232371309.3	249543798.6
7865000000.0	245105305.2	232375430.9	249549607.4
7866000000.0	245110315.0	232379551.7	249555415.1
7867000000.0	245115323.8	232383671.6	249561221.9
7868000000.0	245120331.7	232387790.7	249567027.6
7869000000.0	245125338.6	232391909.0	249572832.2
7870000000.0	245130344.5	232396026.4	249578635.9
7871000000.0	245135349.4	232400143.0	249584438.5
7872000000.0	245140353.4	232404258.7	249590240.1
7873000000.0	245145356.4	232408373.6	249596040.6
7874000000.0	245150358.5	232412487.7	249601840.2
