TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
4271000000.0	263430943.2	259680954.8	275356185.1
4272000000.0	263444923.9	259694160.6	275373301.6
4273000000.0	263458899.8	259707361.8	275390412.9
4274000000.0	263472871.0	259720558.3	275407518.9
4275000000.0	263486837.3	259733750.2	275424619.7
4276000000.0	263500798.8	259746937.5	275441715.1
4277000000.0	263514755.5	259760120.2	275458805.3
4278000000.0	263528707.4	259773298.2	275475890.2
4279000000.0	263542654.5	259786471.6	275492969.9
4280000000.0	263556596.8	259799640.4	275510044.3
4281000000.0	263570534.3	259812804.6	275527113.4
4282000000.0	263584467.0	259825964.2	275544177.3
4283000000.0	263598395.0	259839119.1	275561235.9
4284000000.0	263612318.1	259852269.5	275578289.3
4285000000.0	263626236.5	259865415.2	275595337.4
4286000000.0	263640150.0	259878556.4	275612380.3
4287000000.0	263654058.8	259891692.9	275629417.9
4288000000.0	263667962.9	259904824.8	275646450.3
4289000000.0	263681862.1	259917952.2	275663477.4
4290000000.0	263695756.6	259931074.9	275680499.3
4291000000.0	263709646.3	259944193.1	275697516.0
4292000000.0	263723531.2	259957306.6	275714527.4
4293000000.0	263737411.4	259970415.6	275731533.7
4294000000.0	263751286.8	259983520.0	275748534.6
4295000000.0	263765157.5	259996619.8	275765530.4
4296000000.0	263779023.4	260009715.0	275782520.9
4297000000.0	263792884.5	260022805.6	275799506.3
4298000000.0	263806740.9	260035891.7	275816486.4
4299000000.0	263820592.6	260048973.2	275833461.2
4300000000.0	263834439.5	260062050.1	275850430.9
4301000000.0	263848281.6	260075122.5	275867395.4
4302000000.0	263862119.0	260088190.3	275884354.6
4303000000.0	263875951.7	260101253.5	275901308.7
4304000000.0	263889779.6	260114312.2	275918257.5
4305000000.0	263903602.8	260127366.3	275935201.2
4306000000.0	263917421.3	260140415.8	275952139.6
4307000000.0	263931235.0	260153460.8	275969072.9
4308000000.0	263945044.0	260166501.3	275986000.9
4309000000.0	263958848.3	260179537.2	276002923.8
4310000000.0	263972647.8	260192568.5	276019841.5
4311000000.0	263986442.7	260205595.4	276036754.0
4312000000.0	264000232.8	260218617.6	276053661.3
4313000000.0	264014018.2	260231635.3	276070563.4
4314000000.0	264027798.9	260244648.5	276087460.4
4315000000.0	264041574.9	260257657.2	276104352.2
4316000000.0	264055346.1	260270661.3	276121238.8
4317000000.0	264069112.7	260283660.9	276138120.2
4318000000.0	264082874.6	260296656.0	276154996.5
4319000000.0	264096631.7	260309646.5	276171867.6
4320000000.0	264110384.2	260322632.5	276188733.5
4321000000.0	264124132.0	260335614.0	276205594.3
4322000000.0	264137875.0	260348591.0	276222449.9
4323000000.0	264151613.4	260361563.5	276239300.4
4324000000.0	264165347.1	260374531.4	276256145.7
4325000000.0	264179076.1	260387494.9	276272985.9
4326000000.0	264192800.4	260400453.8	276289820.9
4327000000.0	264206520.1	260413408.2	276306650.7
4328000000.0	264220235.0	260426358.1	276323475.4
4329000000.0	264233945.3	260439303.5	276340295.0
4330000000.0	264247650.9	260452244.5	276357109.4
4331000000.0	264261351.9	260465180.9	276373918.7
4332000000.0	264275048.2	260478112.8	276390722.9
4333000000.0	264288739.8	260491040.2	276407521.9
4334000000.0	264302426.7	260503963.2	276424315.8
4335000000.0	264316109.0	260516881.6	276441104.6
4336000000.0	264329786.6	260529795.6	276457888.3
4337000000.0	264343459.5	260542705.1	276474666.8
4338000000.0	264357127.8	260555610.1	276491440.2
4339000000.0	264370791.5	260568510.6	276508208.5
4340000000.0	264384450.5	260581406.7	276524971.7
4341000000.0	264398104.8	260594298.3	276541729.7
4342000000.0	264411754.5	260607185.4	276558482.7
4343000000.0	264425399.6	260620068.0	276575230.5
4344000000.0	264439040.0	260632946.2	276591973.2
4345000000.0	264452675.8	260645819.9	276608710.9
4346000000.0	264466306.9	260658689.2	276625443.4
4347000000.0	264479933.5	260671554.0	276642170.8
4348000000.0	264493555.3	260684414.3	276658893.2
4349000000.0	264507172.6	260697270.2	276675610.4
4350000000.0	264520785.2	260710121.6	276692322.6
4351000000.0	264534393.2	260722968.6	276709029.6
4352000000.0	264547996.6	260735811.1	276725731.6
4353000000.0	264561595.4	260748649.2	276742428.5
4354000000.0	264575189.5	260761482.8	276759120.3
4355000000.0	264588779.0	260774312.0	276775807.1
4356000000.0	264602363.9	260787136.8	276792488.7
4357000000.0	264615944.2	260799957.1	276809165.3
4358000000.0	264629519.9	260812773.0	276825836.8
4359000000.0	264643091.0	260825584.4	276842503.2
4360000000.0	264656657.5	260838391.5	276859164.6
4361000000.0	264670219.4	260851194.1	276875820.9
4362000000.0	264683776.7	260863992.2	276892472.1
4363000000.0	264697329.4	260876786.0	276909118.3
4364000000.0	264710877.5	260889575.3	276925759.4
4365000000.0	264724421.0	260902360.2	276942395.5
4366000000.0	264737959.9	260915140.7	276959026.5
4367000000.0	264751494.2	260927916.8	276975652.5
4368000000.0	264765024.0	260940688.5	276992273.4
4369000000.0	264778549.1	260953455.8	277008889.3
4370000000.0	264792069.7	260966218.6	277025500.1
4371000000.0	264805585.7	260978977.1	277042105.9
4372000000.0	264819097.2	260991731.1	277058706.6
4373000000.0	264832604.0	261004480.8	277075302.3
4374000000.0	264846106.3	261017226.0	277091893.0
4375000000.0	264859604.0	261029966.9	277108478.6
4376000000.0	264873097.2	261042703.4	277125059.2
4377000000.0	264886585.8	261055435.4	277141634.8
4378000000.0	264900069.8	261068163.1	277158205.4
4379000000.0	264913549.3	261080886.4	277174770.9
4380000000.0	264927024.2	261093605.4	277191331.4
4381000000.0	264940494.6	261106319.9	277207886.9
4382000000.0	264953960.4	261119030.1	277224437.4
4383000000.0	264967421.7	261131735.8	277240982.8
4384000000.0	264980878.4	261144437.2	277257523.3
4385000000.0	264994330.5	261157134.3	277274058.7
4386000000.0	265007778.2	261169826.9	277290589.2
4387000000.0	265021221.3	261182515.2	277307114.6
4388000000.0	265034659.8	261195199.2	277323635.0
4389000000.0	265048093.8	261207878.8	277340150.5
4390000000.0	265061523.3	261220554.0	277356660.9
